poi_name,main_poi,poi_type,poi_category,city,location_desc,function_desc,heat_score,source_text,source_type,confidence
清迈古城太有味道了！推荐去素贴山双龙寺和宁曼路宁曼路有很多咖啡厅,清迈古城太有味道了！推荐去素贴山双龙寺和宁曼路,餐饮,导航类,清迈,,,287.0,清迈古城太有味道了！推荐去素贴山双龙寺和宁曼路，还有周末夜市的拍照点。双龙寺有观景台可以看全景，宁曼路有很多咖啡厅和补给点。,post_content,0.75
清迈古城太有味道了！推荐去素贴山双龙寺和宁曼路,清迈古城太有味道了！推荐去素贴山双龙寺和宁曼路,景点,导航类,清迈,,,287.0,清迈古城太有味道了！推荐去素贴山双龙寺和宁曼路，还有周末夜市的拍照点。双龙寺有观景台可以看全景，宁曼路有很多咖啡厅和补给点。,post_content,0.75
很多咖啡厅和补给点,,餐饮,导航类,清迈,,,287.0,清迈古城太有味道了！推荐去素贴山双龙寺和宁曼路，还有周末夜市的拍照点。双龙寺有观景台可以看全景，宁曼路有很多咖啡厅和补给点。,post_content,0.75
清迈古城太有味道了！推荐去素贴山双龙寺和宁曼路还有周末夜市的拍照点,清迈古城太有味道了！推荐去素贴山双龙寺和宁曼路,拍照点,导航类,清迈,,,287.0,清迈古城太有味道了！推荐去素贴山双龙寺和宁曼路，还有周末夜市的拍照点。双龙寺有观景台可以看全景，宁曼路有很多咖啡厅和补给点。,post_content,0.75
清迈古城太有味道了！推荐去素贴山双龙寺和宁曼路双龙寺有观景台,清迈古城太有味道了！推荐去素贴山双龙寺和宁曼路,拍照点,导航类,清迈,,,287.0,清迈古城太有味道了！推荐去素贴山双龙寺和宁曼路，还有周末夜市的拍照点。双龙寺有观景台可以看全景，宁曼路有很多咖啡厅和补给点。,post_content,0.75
素贴山,,景点,导航类,清迈,,,28.0,素贴山的观景台怎么去？,comment,0.7
观景台,,拍照点,导航类,清迈,,,28.0,素贴山的观景台怎么去？,comment,0.7
洗手间,,设施点,导航类,清迈,,,22.0,周末夜市有洗手间吗？,comment,0.7
咖啡厅和洗手间,,餐饮,导航类,阿那亚,,,315.0,阿那亚社区太适合度假了！孤独图书馆和礼堂必打卡，海边有个绝佳的拍照点。社区入口有访客停车场，礼堂附近有咖啡厅和洗手间。,post_content,0.75
阿那亚社区太适合度假了！孤独图书馆和礼堂必打卡礼堂附近有咖啡厅,阿那亚社区太适合度假了！孤独图书馆和礼堂必打卡,餐饮,导航类,阿那亚,,,315.0,阿那亚社区太适合度假了！孤独图书馆和礼堂必打卡，海边有个绝佳的拍照点。社区入口有访客停车场，礼堂附近有咖啡厅和洗手间。,post_content,0.75
阿那亚社区太适合度假了！孤独图书馆和礼堂必打卡海边有个绝佳的拍照点,阿那亚社区太适合度假了！孤独图书馆和礼堂必打卡,景点,导航类,阿那亚,,,315.0,阿那亚社区太适合度假了！孤独图书馆和礼堂必打卡，海边有个绝佳的拍照点。社区入口有访客停车场，礼堂附近有咖啡厅和洗手间。,post_content,0.75
阿那亚社区太适合度假了！孤独图书馆和礼堂必打卡社区入口有访客停车场,阿那亚社区太适合度假了！孤独图书馆和礼堂必打卡,功能点,导航类,阿那亚,,,315.0,阿那亚社区太适合度假了！孤独图书馆和礼堂必打卡，海边有个绝佳的拍照点。社区入口有访客停车场，礼堂附近有咖啡厅和洗手间。,post_content,0.75
阿那亚社区太适合度假了！孤独图书馆和礼堂必打卡社区入口,阿那亚社区太适合度假了！孤独图书馆和礼堂必打卡,功能点,导航类,阿那亚,,,315.0,阿那亚社区太适合度假了！孤独图书馆和礼堂必打卡，海边有个绝佳的拍照点。社区入口有访客停车场，礼堂附近有咖啡厅和洗手间。,post_content,0.75
拍照点,,拍照点,导航类,阿那亚,,,32.0,孤独图书馆的拍照点推荐！,comment,0.7
济州岛的风景太美了！去了城山日出峰和涉地可支日出峰的观景台,济州岛的风景太美了！去了城山日出峰和涉地可支,拍照点,导航类,济州岛,,,3590.0,济州岛的风景太美了！去了城山日出峰和涉地可支，还有涯月邑的海岸步道。日出峰的观景台视野超好，涉地可支有个绝佳的拍照点。,post_content,0.75
济州岛的风景太美了！去了城山日出峰和涉地可支,济州岛的风景太美了！去了城山日出峰和涉地可支,景点,导航类,济州岛,,,3590.0,济州岛的风景太美了！去了城山日出峰和涉地可支，还有涯月邑的海岸步道。日出峰的观景台视野超好，涉地可支有个绝佳的拍照点。,post_content,0.75
拍照点,,拍照点,导航类,济州岛,,,3590.0,济州岛的风景太美了！去了城山日出峰和涉地可支，还有涯月邑的海岸步道。日出峰的观景台视野超好，涉地可支有个绝佳的拍照点。,post_content,0.75
济州岛的风景太美了！去了城山日出峰和涉地可支还有涯月邑的海,济州岛的风景太美了！去了城山日出峰和涉地可支,景点,导航类,济州岛,,,3590.0,济州岛的风景太美了！去了城山日出峰和涉地可支，还有涯月邑的海岸步道。日出峰的观景台视野超好，涉地可支有个绝佳的拍照点。,post_content,0.75
城山,,景点,导航类,济州岛,,,25.0,城山日出峰的洗手间在哪？,comment,0.7
洗手间,,设施点,导航类,济州岛,,,25.0,城山日出峰的洗手间在哪？,comment,0.7
露营点,,功能点,导航类,济州岛,,,20.0,涯月邑有露营点吗？,comment,0.7
很多补给点和露营点,,功能点,导航类,新西兰,,,9105.0,新西兰南岛的皇后镇和特卡波湖太美了！皇后镇有天空缆车的观景台，特卡波湖有好牧羊人教堂和观星点。沿途有很多补给点和露营点。,post_content,0.75
新西兰南岛观景台,新西兰南岛,拍照点,导航类,新西兰,,,9105.0,新西兰南岛的皇后镇和特卡波湖太美了！皇后镇有天空缆车的观景台，特卡波湖有好牧羊人教堂和观星点。沿途有很多补给点和露营点。,post_content,0.75
新西兰南岛皇后镇和特卡波湖,新西兰南岛,景点,导航类,新西兰,,,9105.0,新西兰南岛的皇后镇和特卡波湖太美了！皇后镇有天空缆车的观景台，特卡波湖有好牧羊人教堂和观星点。沿途有很多补给点和露营点。,post_content,0.75
新西兰南岛好牧羊人教堂和观星点,新西兰南岛,景点,导航类,新西兰,,,9105.0,新西兰南岛的皇后镇和特卡波湖太美了！皇后镇有天空缆车的观景台，特卡波湖有好牧羊人教堂和观星点。沿途有很多补给点和露营点。,post_content,0.75
新西兰南岛沿途有很多补给点,新西兰南岛,功能点,导航类,新西兰,,,9105.0,新西兰南岛的皇后镇和特卡波湖太美了！皇后镇有天空缆车的观景台，特卡波湖有好牧羊人教堂和观星点。沿途有很多补给点和露营点。,post_content,0.75
新西兰南岛好牧羊人教堂,新西兰南岛,景点,导航类,新西兰,,,9105.0,新西兰南岛的皇后镇和特卡波湖太美了！皇后镇有天空缆车的观景台，特卡波湖有好牧羊人教堂和观星点。沿途有很多补给点和露营点。,post_content,0.75
观星点,,观测点,导航类,新西兰,,,60.0,特卡波湖的观星点具体位置？,comment,0.7
特卡波湖,,景点,导航类,新西兰,,,60.0,特卡波湖的观星点具体位置？,comment,0.7
缆车售票处,,功能点,导航类,新西兰,,,45.0,皇后镇的缆车售票处在哪？,comment,0.7
鼋头渚樱花正值最佳观赏期！推荐去长春桥和樱花谷景区,鼋头渚樱花正值最佳观赏期！推荐去长春桥和樱花谷,景点,导航类,鼋头渚,,,2506.0,鼋头渚樱花正值最佳观赏期！推荐去长春桥和樱花谷，还有鹿顶山的观景台可以看全景。景区入口有停车场，樱花谷有洗手间和补给点。,post_content,0.75
鼋头渚樱花正值最佳观赏期！推荐去长春桥和樱花谷景区入口有停车场,鼋头渚樱花正值最佳观赏期！推荐去长春桥和樱花谷,景点,导航类,鼋头渚,,,2506.0,鼋头渚樱花正值最佳观赏期！推荐去长春桥和樱花谷，还有鹿顶山的观景台可以看全景。景区入口有停车场，樱花谷有洗手间和补给点。,post_content,0.75
鼋头渚樱花正值最佳观赏期！推荐去长春桥和樱花谷还有鹿顶山,鼋头渚樱花正值最佳观赏期！推荐去长春桥和樱花谷,景点,导航类,鼋头渚,,,2506.0,鼋头渚樱花正值最佳观赏期！推荐去长春桥和樱花谷，还有鹿顶山的观景台可以看全景。景区入口有停车场，樱花谷有洗手间和补给点。,post_content,0.75
鼋头渚樱花正值最佳观赏期！推荐去长春桥和樱花谷樱花谷有洗手间,鼋头渚樱花正值最佳观赏期！推荐去长春桥和樱花谷,设施点,导航类,鼋头渚,,,2506.0,鼋头渚樱花正值最佳观赏期！推荐去长春桥和樱花谷，还有鹿顶山的观景台可以看全景。景区入口有停车场，樱花谷有洗手间和补给点。,post_content,0.75
洗手间和补给点,,功能点,导航类,鼋头渚,,,2506.0,鼋头渚樱花正值最佳观赏期！推荐去长春桥和樱花谷，还有鹿顶山的观景台可以看全景。景区入口有停车场，樱花谷有洗手间和补给点。,post_content,0.75
鼋头渚樱花正值最佳观赏期！推荐去长春桥和樱花谷还有鹿顶山的观景台,鼋头渚樱花正值最佳观赏期！推荐去长春桥和樱花谷,景点,导航类,鼋头渚,,,2506.0,鼋头渚樱花正值最佳观赏期！推荐去长春桥和樱花谷，还有鹿顶山的观景台可以看全景。景区入口有停车场，樱花谷有洗手间和补给点。,post_content,0.75
鼋头渚樱花正值最佳观赏期！推荐去长春桥和樱花谷景区入口,鼋头渚樱花正值最佳观赏期！推荐去长春桥和樱花谷,景点,导航类,鼋头渚,,,2506.0,鼋头渚樱花正值最佳观赏期！推荐去长春桥和樱花谷，还有鹿顶山的观景台可以看全景。景区入口有停车场，樱花谷有洗手间和补给点。,post_content,0.75
拍照点,,拍照点,导航类,鼋头渚,,,38.0,长春桥的拍照点在哪？,comment,0.7
鹿顶山观景台,,景点,导航类,鼋头渚,,,30.0,鹿顶山观景台要门票吗？,comment,0.7
鹿顶山,,景点,导航类,鼋头渚,,,30.0,鹿顶山观景台要门票吗？,comment,0.7
圣米歇尔山太震撼了！山顶的修道院和观景台必去,圣米歇尔山太震撼了！山顶的修道院和观景台必去,景点,导航类,圣米歇尔山,,,5748.0,法国的圣米歇尔山太震撼了！山顶的修道院和观景台必去，山下有个绝佳的拍照点可以拍全景。修道院入口有售票处和洗手间。,post_content,0.75
圣米歇尔山太震撼了！山顶的修道院和观景台必去修道院入口,圣米歇尔山太震撼了！山顶的修道院和观景台必去,功能点,导航类,圣米歇尔山,,,5748.0,法国的圣米歇尔山太震撼了！山顶的修道院和观景台必去，山下有个绝佳的拍照点可以拍全景。修道院入口有售票处和洗手间。,post_content,0.75
圣米歇尔山太震撼了！山顶的修道院和观景台必去修道院入口有售票处,圣米歇尔山太震撼了！山顶的修道院和观景台必去,功能点,导航类,圣米歇尔山,,,5748.0,法国的圣米歇尔山太震撼了！山顶的修道院和观景台必去，山下有个绝佳的拍照点可以拍全景。修道院入口有售票处和洗手间。,post_content,0.75
圣米歇尔山太震撼了！山顶的修道院和观景台必去售票处和洗手间,圣米歇尔山太震撼了！山顶的修道院和观景台必去,功能点,导航类,圣米歇尔山,,,5748.0,法国的圣米歇尔山太震撼了！山顶的修道院和观景台必去，山下有个绝佳的拍照点可以拍全景。修道院入口有售票处和洗手间。,post_content,0.75
圣米歇尔山太震撼了！山顶的修道院和观景台必去山下有个绝佳的拍照点,圣米歇尔山太震撼了！山顶的修道院和观景台必去,景点,导航类,圣米歇尔山,,,5748.0,法国的圣米歇尔山太震撼了！山顶的修道院和观景台必去，山下有个绝佳的拍照点可以拍全景。修道院入口有售票处和洗手间。,post_content,0.75
拍照点,,拍照点,导航类,圣米歇尔山,,,42.0,山下的拍照点具体位置？,comment,0.7
充电桩和洗手间,,设施点,导航类,三亚,,,5224.0,三亚的海真的看不腻！这次住了亚龙湾的丽思卡尔顿酒店，水族馆超棒。还去了海棠湾的亚特兰蒂斯和蜈支洲岛景区。海棠湾免税店有充电桩和洗手间。,post_content,0.75
三亚的海真的看不腻！这次住了亚龙湾的丽思卡尔顿酒店,三亚的海真的看不腻！这次住了亚龙湾的丽思卡尔顿酒店,住宿,导航类,三亚,,,5224.0,三亚的海真的看不腻！这次住了亚龙湾的丽思卡尔顿酒店，水族馆超棒。还去了海棠湾的亚特兰蒂斯和蜈支洲岛景区。海棠湾免税店有充电桩和洗手间。,post_content,0.75
海棠湾免税店有充电桩,,景点,导航类,三亚,,,5224.0,三亚的海真的看不腻！这次住了亚龙湾的丽思卡尔顿酒店，水族馆超棒。还去了海棠湾的亚特兰蒂斯和蜈支洲岛景区。海棠湾免税店有充电桩和洗手间。,post_content,0.75
三亚的海真的看不腻！这次住了亚龙湾的丽思卡尔顿酒店兰蒂斯和蜈支洲岛景区,三亚的海真的看不腻！这次住了亚龙湾的丽思卡尔顿酒店,景点,导航类,三亚,,,5224.0,三亚的海真的看不腻！这次住了亚龙湾的丽思卡尔顿酒店，水族馆超棒。还去了海棠湾的亚特兰蒂斯和蜈支洲岛景区。海棠湾免税店有充电桩和洗手间。,post_content,0.75
拍照点,,拍照点,导航类,三亚,,,55.0,亚龙湾的拍照点具体在哪？,comment,0.7
码头入口,,功能点,导航类,三亚,,,40.0,蜈支洲岛的码头入口好找吗？,comment,0.7
补给点,,功能点,导航类,三亚,,,35.0,海棠湾免税店的补给点价格怎么样？,comment,0.7
吉隆坡双子塔太壮观了！推荐去 KLCC 公园充电桩和洗手间,吉隆坡双子塔太壮观了！推荐去 KLCC 公园,设施点,导航类,吉隆坡,,,4760.0,吉隆坡双子塔太壮观了！推荐去 KLCC 公园的拍照点，还有天空桥的观景台。商场里有充电桩和洗手间，地下有停车场。,post_content,0.75
吉隆坡双子塔太壮观了！推荐去 KLCC 公园,吉隆坡双子塔太壮观了！推荐去 KLCC 公园,景点,导航类,吉隆坡,,,4760.0,吉隆坡双子塔太壮观了！推荐去 KLCC 公园的拍照点，还有天空桥的观景台。商场里有充电桩和洗手间，地下有停车场。,post_content,0.75
吉隆坡双子塔太壮观了！推荐去 KLCC 公园商场里有充电桩,吉隆坡双子塔太壮观了！推荐去 KLCC 公园,设施点,导航类,吉隆坡,,,4760.0,吉隆坡双子塔太壮观了！推荐去 KLCC 公园的拍照点，还有天空桥的观景台。商场里有充电桩和洗手间，地下有停车场。,post_content,0.75
吉隆坡双子塔太壮观了！推荐去 KLCC 公园拍照点,吉隆坡双子塔太壮观了！推荐去 KLCC 公园,拍照点,导航类,吉隆坡,,,4760.0,吉隆坡双子塔太壮观了！推荐去 KLCC 公园的拍照点，还有天空桥的观景台。商场里有充电桩和洗手间，地下有停车场。,post_content,0.75
吉隆坡双子塔太壮观了！推荐去 KLCC 公园地下有停车场,吉隆坡双子塔太壮观了！推荐去 KLCC 公园,设施点,导航类,吉隆坡,,,4760.0,吉隆坡双子塔太壮观了！推荐去 KLCC 公园的拍照点，还有天空桥的观景台。商场里有充电桩和洗手间，地下有停车场。,post_content,0.75
吉隆坡双子塔太壮观了！推荐去 KLCC 公园还有天空桥的观景台,吉隆坡双子塔太壮观了！推荐去 KLCC 公园,拍照点,导航类,吉隆坡,,,4760.0,吉隆坡双子塔太壮观了！推荐去 KLCC 公园的拍照点，还有天空桥的观景台。商场里有充电桩和洗手间，地下有停车场。,post_content,0.75
KLCC 公园,,景点,导航类,吉隆坡,,,48.0,KLCC 公园的拍照点在哪？,comment,0.7
拍照点,,拍照点,导航类,吉隆坡,,,48.0,KLCC 公园的拍照点在哪？,comment,0.7
售票处,,功能点,导航类,吉隆坡,,,36.0,天空桥的售票处在哪？,comment,0.7
